name	b	s	mean	stdev	max
uniform	128	128	20.465815	14.688937373093268	128
inc	128	128	20.483178	14.672363759755083	128
uniform	256	128	20.475516	14.690457458611844	157
inc	256	128	20.49886	14.681707811182738	137
uniform	384	128	20.460006	14.68092953493259	135
inc	384	128	21.067009	14.582039755459537	138
uniform	512	128	20.462588	14.658565728467613	143
inc	512	128	20.498734	14.69292667508207	183
uniform	640	128	20.476434	14.666992594404476	139
inc	640	128	22.085439	14.622203903178413	131
uniform	768	128	20.492522	14.693295749165875	133
inc	768	128	21.072546	14.6175223191156	140
uniform	896	128	20.473379	14.682746640373793	137
inc	896	128	20.044335	14.581792346499899	133
uniform	1024	128	20.503926	14.700727080586889	154
inc	1024	128	20.503035	14.713634672636816	128
uniform	1152	128	20.471255	14.682762659271392	129
inc	1152	128	22.123703	14.46168647524094	157
uniform	1280	128	20.465444	14.702904068865173	148
inc	1280	128	22.089114	14.604842826831037	136
uniform	1408	128	20.476047	14.68351279017861	139
inc	1408	128	20.10824	14.594745873395915	133
uniform	1536	128	20.479927	14.680757970872131	151
