name	b	s	mean	stdev	max
plus-prime	128	128	20.494405	14.691155656585684	129
uniform	128	128	20.481224	14.699147510204853	128
inc	128	128	20.460351	14.662025403462781	128
plus-prime	256	128	20.462131	14.693531020101766	134
uniform	256	128	20.485602	14.680562939360474	139
inc	256	128	20.456761	14.676985106034918	144
plus-prime	384	128	20.486637	14.693172881292874	131
uniform	384	128	20.473326	14.675413175290018	147
inc	384	128	21.081656	14.609540024803099	146
plus-prime	512	128	20.444954	14.670980102758683	133
uniform	512	128	20.470619	14.682027936180456	125
inc	512	128	20.488057	14.696876925488025	140
plus-prime	640	128	20.447488	14.672142234916269	141
uniform	640	128	20.513302	14.71835084806201	127
inc	640	128	22.124159	14.618832691189413	134
plus-prime	768	128	20.479224	14.696594447276292	151
uniform	768	128	20.461127	14.679926511740902	147
inc	768	128	21.069693	14.602302527786161	130
plus-prime	896	128	20.459941	14.684458890604445	130
uniform	896	128	20.466197	14.681814496610013	147
inc	896	128	20.018476	14.57792177071983	135
plus-prime	1024	128	20.505073	14.708423797348294	133
uniform	1024	128	20.500695	14.7162037252692	138
inc	1024	128	20.481976	14.675374901584371	133
plus-prime	1152	128	20.453235	14.661278797835848	135
uniform	1152	128	20.448661	14.68119776600829	129
inc	1152	128	22.124502	14.450620127607607	134
plus-prime	1280	128	20.447138	14.65947047164496	145
uniform	1280	128	20.457631	14.696103593922434	132
inc	1280	128	22.11929	14.633373159716458	151
plus-prime	1408	128	20.458928	14.69180216787127	141
uniform	1408	128	20.441269	14.682246021572695	144
inc	1408	128	20.096072	14.604875743162332	141
plus-prime	1536	128	20.476966	14.669552911749786	147
uniform	1536	128	20.471584	14.684701160438784	153
inc	1536	128	21.066613	14.584397293439157	131
plus-prime	1664	128	20.484147	14.689501300719487	133
uniform	1664	128	20.48434	14.686325423759152	140
inc	1664	128	20.308412	14.655736038454528	146
plus-prime	1792	128	20.469823	14.673224684853484	135
uniform	1792	128	20.477728	14.686729440485982	137
inc	1792	128	20.024707	14.585690635226099	141
plus-prime	1920	128	20.468592	14.677300465708432	120
uniform	1920	128	20.470553	14.695535132581727	133
inc	1920	128	22.519417	14.493807955488442	130
plus-prime	2048	128	20.450833	14.675243029294913	132
uniform	2048	128	20.450383	14.650428280031944	134
inc	2048	128	20.44363	14.667283918719155	150
